battery_kwh,metric,bdew,real_count,real_min,real_p05,real_p25,real_median,real_mean,real_p75,real_p95,real_max,real_std,bdew_percentile_rank
26,eigenverbrauchsquote_pct,44.643,27,29.107,36.365,41.541,42.341,41.592,42.745,43.739,44.208,2.959,100
26,autarkie_pct,91.864,27,59.894,74.83,85.48,87.127,85.586,87.956,90.004,90.969,6.088,100
26,netzbezug_kwh,406.795,27,451.574,499.805,602.179,643.63,720.699,726.039,1258.528,2005.279,304.408,0
26,einspeisung_kwh,5413.189,27,5469.348,5508.095,5619.942,5664.318,5743.086,5740.749,6303.781,7054.156,312.951,0
27,eigenverbrauch_kwh,4598.827,27,2997.526,3746.901,4281.904,4362.319,4285.395,4404.112,4506.8,4554.06,305.04,100
27,eigenverbrauchsquote_pct,44.698,27,29.134,36.418,41.618,42.399,41.651,42.806,43.803,44.263,2.965,100
27,autarkie_pct,91.977,27,59.951,74.938,85.638,87.246,85.708,88.082,90.136,91.081,6.101,100
27,netzbezug_kwh,401.173,27,445.94,493.2,595.889,637.681,714.605,718.097,1253.099,2002.474,305.04,0
27,einspeisung_kwh,5406.918,27,5463.078,5500.803,5611.793,5659.08,5736.314,5732.5,6297.81,7049.945,313.498,0
28,eigenverbrauch_kwh,4604.452,27,2999.44,3751.829,4288.685,4365.418,4290.833,4409.785,4512.084,4559.694,305.694,100
28,eigenverbrauchsquote_pct,44.753,27,29.153,36.465,41.684,42.429,41.704,42.861,43.855,44.318,2.971,100
28,autarkie_pct,92.089,27,59.989,75.037,85.774,87.308,85.817,88.196,90.242,91.194,6.114,100
28,netzbezug_kwh,395.548,27,440.306,487.916,590.215,634.582,709.167,711.315,1248.171,2000.56,305.694,0
28,einspeisung_kwh,5400.648,27,5456.808,5494.948,5603.982,5653.842,5730.268,5725.443,6292.411,7046.715,314.068,0
29,eigenverbrauch_kwh,4610.123,27,3001.322,3756.289,4295.3,4368.812,4295.974,4414.952,4517.358,4565.317,306.331,100
29,eigenverbrauchsquote_pct,44.808,27,29.171,36.509,41.748,42.462,41.754,42.911,43.906,44.372,2.977,100
29,autarkie_pct,92.202,27,60.026,75.126,85.906,87.376,85.919,88.299,90.347,91.306,6.127,100
29,netzbezug_kwh,389.877,27,434.683,482.642,585.048,631.188,704.026,704.701,1243.711,1998.678,306.331,0
29,einspeisung_kwh,5394.379,27,5450.538,5489.093,5596.869,5648.604,5724.541,5719,6287.508,7043.517,314.618,0
30,eigenverbrauch_kwh,4615.789,27,3003.199,3760.503,4301.815,4372.569,4300.787,4419.55,4522.652,4570.934,306.891,100
30,eigenverbrauchsquote_pct,44.863,27,29.189,36.55,41.812,42.499,41.801,42.956,43.957,44.427,2.983,100
30,autarkie_pct,92.316,27,60.064,75.21,86.037,87.451,86.016,88.391,90.453,91.419,6.138,100
30,netzbezug_kwh,384.211,27,429.066,477.348,580.45,627.431,699.213,698.186,1239.497,1996.801,306.891,0
30,einspeisung_kwh,5388.109,27,5444.268,5483.238,5590.732,5643.367,5719.176,5713.764,6282.839,7040.318,315.077,0
