timestamp,hour,day_type,month,h0_kwh_per_hour
2025-01-01T00:00,0,WD,1,74.30401815375679947180920301498312056980
2025-01-01T01:00,1,WD,1,63.87269612594508846539648546280017176821
2025-01-01T02:00,2,WD,1,60.47202706513597158167011618112470914652
2025-01-01T03:00,3,WD,1,59.93929563393737023239378271297060251673
2025-01-01T04:00,4,WD,1,62.56490054484476259668428337744441376352
2025-01-01T05:00,5,WD,1,71.20576430389124951943894784492897411764
2025-01-01T06:00,6,WD,1,92.09544548102287122480284348245306886181
2025-01-01T07:00,7,WD,1,100.1284746935702020967854507785663083056
2025-01-01T08:00,8,WD,1,94.13524609258593691742669926183260872058
2025-01-01T09:00,9,WD,1,90.90481075979141069042397037411616513472
2025-01-01T10:00,10,WD,1,91.75798214960571209941539164266371936136
2025-01-01T11:00,11,WD,1,100.6361717530019518788965430123146768419
2025-01-01T12:00,12,WD,1,105.1153215495270342761015046721893365318
2025-01-01T13:00,13,WD,1,104.2020676674722891059135044410680108807
2025-01-01T14:00,14,WD,1,101.7567102332862280252127406643155139072
2025-01-01T15:00,15,WD,1,105.1273380479751230283408204647040908167
2025-01-01T16:00,16,WD,1,120.0928854901989898797220303924543231139
2025-01-01T17:00,17,WD,1,150.0349954982241382720371563910933124694
2025-01-01T18:00,18,WD,1,166.7689709620583998279710071172648836917
2025-01-01T19:00,19,WD,1,165.1157010505755223323784759971099399967
2025-01-01T20:00,20,WD,1,150.6678644164901458899744547968703714732
2025-01-01T21:00,21,WD,1,134.5136850027761666295875910595356944964
2025-01-01T22:00,22,WD,1,118.9493153878892102916138108048002070026
2025-01-01T23:00,23,WD,1,95.49311041721996592046938381599984291228
2025-01-02T00:00,0,WD,1,74.30401815375679947180920301498312056980
2025-01-02T01:00,1,WD,1,63.87269612594508846539648546280017176821
2025-01-02T02:00,2,WD,1,60.47202706513597158167011618112470914652
2025-01-02T03:00,3,WD,1,59.93929563393737023239378271297060251673
2025-01-02T04:00,4,WD,1,62.56490054484476259668428337744441376352
2025-01-02T05:00,5,WD,1,71.20576430389124951943894784492897411764
2025-01-02T06:00,6,WD,1,92.09544548102287122480284348245306886181
2025-01-02T07:00,7,WD,1,100.1284746935702020967854507785663083056
2025-01-02T08:00,8,WD,1,94.13524609258593691742669926183260872058
2025-01-02T09:00,9,WD,1,90.90481075979141069042397037411616513472
2025-01-02T10:00,10,WD,1,91.75798214960571209941539164266371936136
2025-01-02T11:00,11,WD,1,100.6361717530019518788965430123146768419
2025-01-02T12:00,12,WD,1,105.1153215495270342761015046721893365318
2025-01-02T13:00,13,WD,1,104.2020676674722891059135044410680108807
2025-01-02T14:00,14,WD,1,101.7567102332862280252127406643155139072
2025-01-02T15:00,15,WD,1,105.1273380479751230283408204647040908167
2025-01-02T16:00,16,WD,1,120.0928854901989898797220303924543231139
2025-01-02T17:00,17,WD,1,150.0349954982241382720371563910933124694
2025-01-02T18:00,18,WD,1,166.7689709620583998279710071172648836917
2025-01-02T19:00,19,WD,1,165.1157010505755223323784759971099399967
2025-01-02T20:00,20,WD,1,150.6678644164901458899744547968703714732
2025-01-02T21:00,21,WD,1,134.5136850027761666295875910595356944964
2025-01-02T22:00,22,WD,1,118.9493153878892102916138108048002070026
2025-01-02T23:00,23,WD,1,95.49311041721996592046938381599984291228
2025-01-03T00:00,0,WD,1,74.30401815375679947180920301498312056980
2025-01-03T01:00,1,WD,1,63.87269612594508846539648546280017176821
2025-01-03T02:00,2,WD,1,60.47202706513597158167011618112470914652
2025-01-03T03:00,3,WD,1,59.93929563393737023239378271297060251673
2025-01-03T04:00,4,WD,1,62.56490054484476259668428337744441376352
2025-01-03T05:00,5,WD,1,71.20576430389124951943894784492897411764
2025-01-03T06:00,6,WD,1,92.09544548102287122480284348245306886181
2025-01-03T07:00,7,WD,1,100.1284746935702020967854507785663083056
2025-01-03T08:00,8,WD,1,94.13524609258593691742669926183260872058
2025-01-03T09:00,9,WD,1,90.90481075979141069042397037411616513472
2025-01-03T10:00,10,WD,1,91.75798214960571209941539164266371936136
2025-01-03T11:00,11,WD,1,100.6361717530019518788965430123146768419
2025-01-03T12:00,12,WD,1,105.1153215495270342761015046721893365318
2025-01-03T13:00,13,WD,1,104.2020676674722891059135044410680108807
2025-01-03T14:00,14,WD,1,101.7567102332862280252127406643155139072
2025-01-03T15:00,15,WD,1,105.1273380479751230283408204647040908167
2025-01-03T16:00,16,WD,1,120.0928854901989898797220303924543231139
2025-01-03T17:00,17,WD,1,150.0349954982241382720371563910933124694
2025-01-03T18:00,18,WD,1,166.7689709620583998279710071172648836917
2025-01-03T19:00,19,WD,1,165.1157010505755223323784759971099399967
2025-01-03T20:00,20,WD,1,150.6678644164901458899744547968703714732
2025-01-03T21:00,21,WD,1,134.5136850027761666295875910595356944964
2025-01-03T22:00,22,WD,1,118.9493153878892102916138108048002070026
2025-01-03T23:00,23,WD,1,95.49311041721996592046938381599984291228
2025-01-04T00:00,0,SA,1,81.71919907109823366615365664596274386593
2025-01-04T01:00,1,SA,1,69.22905030918064977607149997625189425450
2025-01-04T02:00,2,SA,1,63.28088357737671741761018268144852323776
2025-01-04T03:00,3,SA,1,60.83152064370796008616298030719110816924
2025-01-04T04:00,4,SA,1,60.74840652944201288317437940896405769881
2025-01-04T05:00,5,SA,1,61.79985014364977870411451125400505762601
2025-01-04T06:00,6,SA,1,72.59667399925752259113975082851178259277
2025-01-04T07:00,7,SA,1,92.92057837445829887856919456846619642373
2025-01-04T08:00,8,SA,1,114.5282453338632235302322088087468596896
